dataset,data_type,R0_Mpc,M_B,rms_mag,chi2_dof,success
csp,RAW,4644.656522304834,-18.556395430593362,1.167546332614574,8626.981310991216,True
pantheon,RAW,3153.0637348548703,-18.556331373963413,0.3595678624825332,64.10746742258542,True
