galaxy,reduced_chi2,velocity_ratio,n_points
UGCA444,33.913775024080806,0.35602987928476115,36
NGC3109,255.63218525350126,0.7778469230567144,25
UGC05829,44.20988821438915,0.8016429363978904,11
UGC06818,40.086716688483456,1.0937591202573078,8
F563-V2,69.64926468910109,2.1376596560541494,10
F574-1,202.05015556971784,1.739282399683962,14
NGC4389,459.53739220914366,3.246557460363066,6
NGC7814,138.61683740768987,0.9676934624534772,18
NGC2998,395.56871953764363,2.560637515183979,13
UGC02487,26.492348421836148,1.0654614165416039,17
